COURSE CODE,TITLE,LOCAL CREDIT,ECTS CREDIT,REMAINING / TOTAL QUOTA,CAMPUS,CLASSROOM(S),INSTRUCTOR NAME,INSTRUCTOR SURNAME,ASSISTANT,TIME SLOT,FACULTY NAME,COURSE HOUR(S),LIVE SECTION
ENGR4501.1,Digital Transformation (3),3,5,16 / 40,Şile,"DMF-101, DMF-101, DMF-101",MEHMET CEMAL,GÜLLÜOĞLU,STAFF,"Cuma 08:30 - 09:20, Cuma 09:30 - 10:20, Cuma 11:30 - 12:20",Faculty of Engineering and Natural Sciences,3,NO
ENGR4901.1,Introduction to Design Projects (1),1,1,17 / 100,Şile,ONLINE,MEHMET,DEMİRKOL,STAFF,Çarşamba 08:30 - 09:20,Faculty of Engineering and Natural Sciences,1,YES
ENT212.1,Computer Aided Industrial Design II (3),3,5,13 / 15,Online,"ONLINE, ONLINE",MUSTAFA BORA,TÜMER,STAFF,,"Faculty of Arts, Design and Architecture",2,NO
ENT212-L.1,Computer Aided Industrial Design II,0,0,13 / 15,Online,"ONLINE, ONLINE",MUSTAFA BORA,TÜMER,STAFF,,"Faculty of Arts, Design and Architecture",2,NO
ENT214.1,Mock Up and Prototype Construction Techniques II (3),3,4,5 / 10,Şile,"D/K_113, D/K_113",ENES,TOPLUGÜL,STAFF,"Cuma 08:30 - 09:20, Cuma 09:30 - 10:20","Faculty of Arts, Design and Architecture",2,NO
ENT214-L.1,Mock Up and Prototype Construction Techniques II,0,0,5 / 10,Şile,"D/K_113, D/K_113",ENES,TOPLUGÜL,STAFF,"Cuma 11:30 - 12:20, Cuma 12:30 - 13:20","Faculty of Arts, Design and Architecture",2,NO
ENT222.1,Materials and Production Techniques II (3),3,5,13 / 15,Şile,"D/K-307, D/K-307",KENAN,DÖNMEZ,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 09:30 - 10:20","Faculty of Arts, Design and Architecture",2,NO
ENT222-L.1,Materials and Production Techniques II,0,0,13 / 15,Şile,"D/K-307, D/K-307",KENAN,DÖNMEZ,STAFF,"Çarşamba 11:30 - 12:20, Çarşamba 12:30 - 13:20","Faculty of Arts, Design and Architecture",2,NO
ENT290.1,Industry Insternship I,0,0,12 / 15,Şile,,SİNEM BAHAR,TUNÇELLİ,STAFF,,"Faculty of Arts, Design and Architecture",0,NO
ENT302.1,Industrial Design Studio IV (4),4,11,0 / 1,Şile,"D/K-513, D/K-513, D/K-513, D/K-513, D/K-513, D/K-513, D/K-513, D/K-513",SİNEM BAHAR,TUNÇELLİ,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20, Pazartesi 11:30 - 12:20, Pazartesi 12:30 - 13:20, Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20, Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ENT302.2,Industrial Design Studio IV (4),4,11,1 / 1,Şile,"D/K-513, D/K-513, D/K-513, D/K-513, D/K-513, D/K-513, D/K-513, D/K-513",ETHEM HÜRSU,ÖKE,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
