COURSE CODE,TITLE,LOCAL CREDIT,ECTS CREDIT,REMAINING / TOTAL QUOTA,CAMPUS,CLASSROOM(S),INSTRUCTOR NAME,INSTRUCTOR SURNAME,ASSISTANT,TIME SLOT,FACULTY NAME,COURSE HOUR(S),LIVE SECTION
AHİZ1121.1,Temel Cerrahi (3),3,6,8 / 45,Maslak,"A404, A404, A404",STAFF,,STAFF,,Vocational School,3,NO
AHİZ1121.2,Temel Cerrahi (3),3,6,3 / 25,Maslak,"B151, B151, B151",DİLARA,BAKIN,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 08:30 - 09:20",Vocational School,3,NO
AHİZ1122.1,Ameliyathane Uygulamaları I (3),3,6,8 / 45,Maslak,"A413 B251, A413 B251, A413 B251",DİLARA,BAKIN,STAFF,"Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20, Pazartesi 17:30 - 18:20",Vocational School,4,NO
AHİZ1122.2,Ameliyathane Uygulamaları I (3),3,6,4 / 25,Maslak,"A413 A320, A413 A320, A413 A320",DİLARA,BAKIN,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 08:30 - 09:20",Vocational School,4,NO
AHİZ1123.1,Fizyoloji (3),3,6,3 / 45,Maslak,"A320, A320, A320",ALİ İLKAY,UZUN,STAFF,,Vocational School,3,NO
AHİZ1123.2,Fizyoloji (3),3,6,10 / 85,Maslak,"B108, B108, B108",ALİ İLKAY,UZUN,STAFF,"Çarşamba 15:30 - 16:20, Çarşamba 16:30 - 17:20, Çarşamba 17:30 - 18:20",Vocational School,3,NO
AHİZ1123.3,Fizyoloji (3),3,6,14 / 75,Maslak,"B108, B108, B108",EMİNE HANDE,KARAGEDİK,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20",Vocational School,3,NO
AHİZ1123.4,Fizyoloji (3),3,6,3 / 65,Maslak,"B151, B151, B151",EMİNE HANDE,KARAGEDİK,STAFF,"Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20",Vocational School,3,NO
AHİZ1123.5,Fizyoloji (3),3,6,20 / 35,Maslak,"B251, B251, B251",EMİNE HANDE,KARAGEDİK,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 08:30 - 09:20",Vocational School,3,NO
AHİZ1123.6,Fizyoloji (3),3,6,18 / 45,Maslak,"A320, A320, A320",ALİ İLKAY,UZUN,STAFF,,Vocational School,3,NO
AHİZ1123.7,Fizyoloji (3),3,6,6 / 30,Maslak,"A320, A320, A320",ALİ İLKAY,UZUN,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 08:30 - 09:20",Vocational School,3,NO
AHİZ1124.1,Enfeksiyondan Korunma Yöntemleri (3),3,3,7 / 45,Maslak,"A317, A317, A317",HÜLYA,ERGÜNEY,STAFF,"Pazartesi 12:30 - 13:20, Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20",Vocational School,3,NO
AHİZ1124.2,Enfeksiyondan Korunma Yöntemleri (3),3,3,2 / 30,Maslak,"A317, A317, A317",HÜLYA,ERGÜNEY,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 08:30 - 09:20",Vocational School,3,NO
AHİZ1125.1,İlk Yardım (3),3,3,-2 / 0,Maslak,"A417, A417, A417",STAFF,,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20, Pazartesi 11:30 - 12:20",Vocational School,3,NO
AHİZ1125.2,İlk Yardım (3),3,3,0 / 20,Maslak,"A417, A417, A417",ÖZGE,GÖL,STAFF,"Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20",Vocational School,3,NO
AHİZ1125.3,İlk Yardım (3),3,3,17 / 30,Maslak,"A417, A417, A417",ÖZGE,GÖL,STAFF,,Vocational School,3,NO
AHİZ1222.1,Knowledge of Surgical Diseases I (3),3,6,12 / 15,Maslak,"B451, B451, B451",GÜNEŞ,ÇEVİK,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 08:30 - 09:20",Vocational School,3,NO
AHİZ2231.1,Operating Room Applications II (3),3,4,16 / 36,Maslak,"A413, A413, A413",DİLARA,BAKIN,STAFF,,Vocational School,3,NO
AHİZ2233.1,First Aid (3),3,5,22 / 30,Maslak,"A417, A417, A417",HÜLYA,ERGÜNEY,STAFF,"Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20, Pazartesi 17:30 - 18:20",Vocational School,3,NO
AHİZ2233.2,First Aid (3),3,5,10 / 20,Maslak,"A417, A417, A417",HÜLYA,ERGÜNEY,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 08:30 - 09:20",Vocational School,3,NO
AHİZ2233.3,First Aid (3),3,5,9 / 25,Maslak,"A417, A417, A417",HÜLYA,ERGÜNEY,STAFF,"Cuma 15:30 - 16:20, Cuma 16:30 - 17:20, Cuma 17:30 - 18:20",Vocational School,3,NO
AHİZ2233.4,First Aid (3),3,5,16 / 25,Maslak,"A417, A417, A417",HÜLYA,ERGÜNEY,STAFF,"Cuma 08:30 - 09:20, Cuma 08:30 - 09:20",Vocational School,3,NO
AHİZ2233.5,First Aid (3),3,5,24 / 25,Maslak,"A417, A417, A417",STAFF,,STAFF,,Vocational School,3,NO
AHİZ2233.6,First Aid (3),3,5,5 / 25,Maslak,"A417, A417, A417",IŞIL,ARSLAN,STAFF,"Çarşamba 15:30 - 16:20, Çarşamba 16:30 - 17:20, Çarşamba 17:30 - 18:20",Vocational School,3,NO
AHİZ2233.7,First Aid (3),3,5,14 / 25,Maslak,"A417, A417, A417",STAFF,,STAFF,,Vocational School,3,NO
AHİZ2233.8,First Aid (3),3,5,0 / 25,Maslak,"A417, A417, A417",IŞIL,ARSLAN,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 08:30 - 09:20",Vocational School,3,NO
AHİZ2241.1,Operating Room Applications III (3),3,4,3 / 25,Maslak,"-, -, -, -, -",AHMET KAMİL,TEKEREK,STAFF,"Cuma 11:30 - 12:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20, Cuma 14:30 - 15:20, Cuma 15:30 - 16:20",Vocational School,3,NO
AHİZ2242.1,Operating Room  Equipments (3),3,3,18 / 40,Maslak,"B251, B251, B251",DİLARA,BAKIN,STAFF,,Vocational School,3,NO
AHİZ2242.2,Operating Room  Equipments (3),3,3,2 / 25,Maslak,"A203, A203, A203",DİLARA,BAKIN,STAFF,,Vocational School,3,NO
AHİZ2243.1,Knowledge of Diseases (3),3,5,15 / 40,Maslak,"B162, B162, B162",DENİZ,ACUNER,STAFF,"Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20, Pazartesi 17:30 - 18:20",Vocational School,3,NO
AHİZ2243.2,Knowledge of Diseases (3),3,5,10 / 25,Maslak,"B251, B251, B251",DENİZ,ACUNER,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 08:30 - 09:20",Vocational School,3,NO
AHİZ2909.1,Industrial Training,0,1,93 / 100,Maslak,,DİLARA,BAKIN,STAFF,,Vocational School,0,NO
ANZİ1121.1,Sistemik Hastalıklar Bilgisi (3),3,6,0 / 73,Maslak,"B151, B151, B151",DENİZ,ACUNER,STAFF,"Çarşamba 12:30 - 13:20, Çarşamba 13:30 - 14:20, Çarşamba 14:30 - 15:20",Vocational School,3,NO
ANZİ1122.1,Genel Farmakoloji (3),3,3,24 / 85,Maslak,"B108, B108, B108",AYHAN,ÜĞÜDEN,STAFF,,Vocational School,3,NO
ANZİ1122.2,Genel Farmakoloji (3),3,3,6 / 70,Maslak,"B251, B251, B251",AYHAN,ÜĞÜDEN,STAFF,"Çarşamba 15:30 - 16:20, Çarşamba 16:30 - 17:20, Çarşamba 17:30 - 18:20",Vocational School,3,NO
ANZİ1122.3,Genel Farmakoloji (3),3,3,20 / 45,Maslak,"A317, A317, A317",AYHAN,ÜĞÜDEN,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 08:30 - 09:20",Vocational School,3,NO
ANZİ1123.1,İlaç Hazırlama,0,3,5 / 70,Maslak,"B251, B251, B251",ÖZGE,GÖL,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20",Vocational School,6,NO
ANZİ1212.1,General Pharmacology (3),3,5,66 / 80,Maslak,"B108, B108, B108",AYHAN,ÜĞÜDEN,STAFF,"Çarşamba 12:30 - 13:20, Çarşamba 13:30 - 14:20, Çarşamba 14:30 - 15:20",Vocational School,3,NO
ANZİ1212.2,General Pharmacology (3),3,5,38 / 45,Maslak,"A317, A317, A317",AYHAN,ÜĞÜDEN,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 08:30 - 09:20",Vocational School,3,NO
ANZİ1222.1,Fundamantels of Anesthesia  II (3),3,6,6 / 70,Maslak,"B251, B251, B251",ALİ,YÜCEL,STAFF,"Pazartesi 12:30 - 13:20, Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20",Vocational School,3,NO
ANZİ2233.1,Anesthesia Applications I (3),3,4,5 / 25,Maslak,"A413 A415, A413 A415, A413 A415",MEHTAP,ATASEVEN BULUN,STAFF,"Salı 15:30 - 16:20, Salı 16:30 - 17:20, Salı 17:30 - 18:20",Vocational School,3,NO
ANZİ2233.2,Anesthesia Applications I (3),3,4,15 / 25,Maslak,"A413 A415, A413 A415, A413 A415",MEHTAP,ATASEVEN BULUN,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20",Vocational School,3,NO
ANZİ2241.1,Clinic Anesthesia II  (3),3,5,5 / 55,Maslak,"B351, B351, B351",ALİ,YÜCEL,STAFF,"Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20, Pazartesi 17:30 - 18:20",Vocational School,3,NO
ANZİ2242.1,Post Operative Care and Non-Operating Room Applications (3),3,4,10 / 55,Maslak,"A320, A320, A320",MEHTAP,ATASEVEN BULUN,STAFF,"Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20",Vocational School,3,NO
ANZİ2243.1,Anesthesia Applications II (3),3,4,33 / 55,Maslak,"-, -, -, -, -",AHMET KAMİL,TEKEREK,STAFF,"Çarşamba 11:30 - 12:20, Çarşamba 12:30 - 13:20, Çarşamba 13:30 - 14:20, Çarşamba 14:30 - 15:20, Çarşamba 15:30 - 16:20",Vocational School,3,NO
ANZİ2251.1,Public Health  (3),3,5,19 / 40,Maslak,"B162, B162, B162",ÖZGE,GÖL,STAFF,"Çarşamba 15:30 - 16:20, Çarşamba 16:30 - 17:20, Çarşamba 17:30 - 18:20",Vocational School,3,NO
ANZİ2251.2,Public Health  (3),3,5,14 / 25,Maslak,"B451, B451, B451",ÖZGE,GÖL,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 08:30 - 09:20",Vocational School,3,NO
ANZİ2261.1,İlaç Hazırlama (3),3,5,49 / 60,Maslak,"B151, B151, B151",ÖZGE,GÖL,STAFF,,Vocational School,0,NO
ANZİ2909.1,Industrial Training,0,1,94 / 100,Maslak,,ÖZGE,GÖL,STAFF,,Vocational School,0,NO
ARCH1103.1,Basic Design (4),4,7,18 / 20,Şile,"D/K-214, D/K-214",RÜKSAN,TUNA,STAFF,"Cuma 13:30 - 14:20, Cuma 14:30 - 15:20","Faculty of Arts, Design and Architecture",2,NO
ARCH1103-L.1,Basic Design,0,0,18 / 20,Şile,"D/K-214, D/K-214, D/K-214, D/K-214",RÜKSAN TUNA 1,,STAFF,"Cuma 15:30 - 16:20, Cuma 16:30 - 17:20, Cuma 17:30 - 18:20, Cuma 08:30 - 09:20","Faculty of Arts, Design and Architecture",4,NO
ARCH1104.1,Introduction to Architectural Design (3),3,5,18 / 20,Şile,"D/K-214, D/K-214",RÜKSAN TUNA 4,,STAFF,"Cuma 08:30 - 09:20, Cuma 09:30 - 10:20","Faculty of Arts, Design and Architecture",2,NO
ARCH1104-L.1,Introduction to Architectural Design,0,0,18 / 20,Şile,"D/K-214, D/K-214",RÜKSAN TUNA 5,,STAFF,"Cuma 11:30 - 12:20, Cuma 12:30 - 13:20","Faculty of Arts, Design and Architecture",2,NO
ARCH1105.1,Architectural Presentation Techniques (4),4,7,19 / 20,Şile,"D/K-214, D/K-214",RÜKSAN TUNA 2,,STAFF,"Cuma 13:30 - 14:20, Cuma 14:30 - 15:20","Faculty of Arts, Design and Architecture",2,NO
ARCH1105-L.1,Architectural Presentation Techniques,0,0,19 / 20,Şile,"D/K-214, D/K-214, D/K-214, D/K-214",RÜKSAN TUNA 3,,STAFF,"Cuma 15:30 - 16:20, Cuma 16:30 - 17:20, Cuma 17:30 - 18:20, Cuma 08:30 - 09:20","Faculty of Arts, Design and Architecture",4,NO
ARCH1115.1,Architecture Foundation Studio I (4),4,7,4 / 20,Şile,"D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106",JALE GÖZDE,KÜÇÜKOĞLU,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 09:30 - 10:20, Çarşamba 11:30 - 12:20, Çarşamba 12:30 - 13:20, Çarşamba 13:30 - 14:20, Çarşamba 14:30 - 15:20, Çarşamba 15:30 - 16:20, Çarşamba 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ARCH1116.1,Architecture Foundation Studio II (4),4,7,25 / 40,Şile,"D/K-202, D/K-202, D/K-202, D/K-202, D/K-202, D/K-202, D/K-202, D/K-202",GÜLAY,KEPSUTLU,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 09:30 - 10:20, Çarşamba 11:30 - 12:20, Çarşamba 12:30 - 13:20, Çarşamba 13:30 - 14:20, Çarşamba 14:30 - 15:20, Çarşamba 15:30 - 16:20, Çarşamba 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ARCH1118.1,Concepts and Culture of Architecture (3),3,5,7 / 40,Şile,"D/K-102, D/K-102",DİCLE,ZEYCAN,STAFF,,"Faculty of Arts, Design and Architecture",2,NO
ARCH1118-L.1,Concepts and Culture of Architecture,0,0,7 / 40,Şile,"D/K-102, D/K-102",DİCLE,ZEYCAN,STAFF,,"Faculty of Arts, Design and Architecture",2,NO
ARCH1120.1,People and Environment in Architecture (3),3,5,14 / 40,Şile,"D/K-501, D/K-501",FATMA AHSEN,ÖZSOY,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20","Faculty of Arts, Design and Architecture",2,NO
ARCH1120-L.1,People and Environment in Architecture,0,0,15 / 40,Şile,"D/K-501, D/K-501",FATMA AHSEN,ÖZSOY,STAFF,"Salı 11:30 - 12:20, Salı 12:30 - 13:20","Faculty of Arts, Design and Architecture",2,NO
ARCH2201.1,Architectural Design Studio I (4),4,8,1 / 30,Şile,"D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106",ELİF,SÜYÜK MAKAKLI,STAFF,"Cuma 08:30 - 09:20, Cuma 09:30 - 10:20, Cuma 11:30 - 12:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20, Cuma 14:30 - 15:20, Cuma 15:30 - 16:20, Cuma 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ARCH2202.1,Architectural Design Studio II (4),4,8,24 / 40,Şile,"D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106",JALE GÖZDE,KÜÇÜKOĞLU,STAFF,"Cuma 08:30 - 09:20, Cuma 09:30 - 10:20, Cuma 11:30 - 12:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20, Cuma 14:30 - 15:20, Cuma 15:30 - 16:20, Cuma 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ARCH2216.1,Architectural Design Thinking (3),3,5,3 / 30,Şile,"D/K-114, D/K-114, D/K-114",DİCLE,ZEYCAN,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20, Pazartesi 11:30 - 12:20","Faculty of Arts, Design and Architecture",3,NO
ARCH2218.1,History and Theory of Architecture I (3),3,5,1 / 35,Şile,"D/K-106, D/K-106, D/K-106",ÖZLEM SILA,DURHAN,STAFF,,"Faculty of Arts, Design and Architecture",3,NO
ARCH2220.1,Statics and Strength of Materials (3),3,4,16 / 40,Şile,"D/K-103, D/K-103, D/K-103",PINAR,ÖZDEMİR ÇAĞLAYAN,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20","Faculty of Arts, Design and Architecture",3,NO
ARCH2220-PS.1,Statics and Strength of Materials,0,0,16 / 40,Şile,D/K-103,PINAR,ÖZDEMİR ÇAĞLAYAN,STAFF,Salı 12:30 - 13:20,"Faculty of Arts, Design and Architecture",1,NO
ARCH2222.1,Building Technologies II (3),3,4,4 / 30,Şile,"D/K-304, D/K-304",ELİF,SÜYÜK MAKAKLI,STAFF,,"Faculty of Arts, Design and Architecture",2,NO
ARCH2222-L.1,Building Technologies II,0,0,4 / 30,Şile,"D/K-304, D/K-304",ELİF,SÜYÜK MAKAKLI,STAFF,,"Faculty of Arts, Design and Architecture",2,NO
ARCH2224.1,Computer Aided Architectural Design I (2),2,2,14 / 30,Şile,D/K-B08,FERHAT,BULDUK,STAFF,Çarşamba 08:30 - 09:20,"Faculty of Arts, Design and Architecture",1,NO
ARCH2224-L.1,Computer Aided Architectural Design I,0,0,14 / 30,Şile,D/K-B08,FERHAT,BULDUK,STAFF,"Çarşamba 09:30 - 10:20, Çarşamba 11:30 - 12:20","Faculty of Arts, Design and Architecture",2,NO
ARCH2900.1,Industrial Practice I,0,2,29 / 50,Şile,,GÜLAY,KEPSUTLU,STAFF,,"Faculty of Arts, Design and Architecture",0,NO
ARCH3301.1,Architectural Design Studio III (4),4,8,11 / 20,Şile,"D/K-202, D/K-202, D/K-202, D/K-202, D/K-202, D/K-202, D/K-202, D/K-202",ÖZLEM SILA,DURHAN,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20, Pazartesi 11:30 - 12:20, Pazartesi 12:30 - 13:20, Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20, Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ARCH3302.1,Architectural Design Studio IV (4),4,8,16 / 30,Şile,"D/K-206, D/K-206, D/K-206, D/K-206, D/K-206, D/K-206, D/K-206, D/K-206",ÖZLEM SILA,DURHAN2,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20, Pazartesi 11:30 - 12:20, Pazartesi 12:30 - 13:20, Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20, Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ARCH3304.1,Environmental and Zoning Law (3),3,5,7 / 20,Şile,"D/K-114, D/K-114, D/K-114",NURAN ZEREN GÜLERSOY 3,,STAFF,,"Faculty of Arts, Design and Architecture",3,NO
ARCH3310.1,Conservation Theories (3),3,5,6 / 30,Şile,"D/K-203, D/K-203, D/K-203",GÜLAY,KEPSUTLU,STAFF,,"Faculty of Arts, Design and Architecture",3,NO
ARCH3310-PS.1,Conservation Theories,0,0,6 / 30,Şile,D/K-203,GÜLAY,KEPSUTLU,STAFF,,"Faculty of Arts, Design and Architecture",1,NO
ARCH3312.1,Contemporary Architecture (3),3,5,14 / 30,Şile,"D/K-114, D/K-114, D/K-114",GÜLDEHEN,KAYA,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20","Faculty of Arts, Design and Architecture",3,NO
ARCH3314.1,Construction Management and Economics (2),2,3,14 / 30,Şile,"ONLINE, ONLINE",GÜRSEL RANA,AYDIN,STAFF,"Cuma 13:30 - 14:20, Cuma 14:30 - 15:20","Faculty of Arts, Design and Architecture",2,YES
ARCH3314-PS.1,Construction Management and Economics,0,0,14 / 30,Şile,ONLINE,GÜRSEL RANA,AYDIN,STAFF,Cuma 15:30 - 16:20,"Faculty of Arts, Design and Architecture",1,YES
ARCH3316.1,Contemporary Building Structures (3),3,4,12 / 40,Şile,"D/K-203, D/K-203",STAFF  17,,STAFF,"Salı 13:30 - 14:20, Salı 14:30 - 15:20","Faculty of Arts, Design and Architecture",2,NO
ARCH3316-L.1,Contemporary Building Structures,0,0,12 / 40,Şile,"D/K-203, D/K-203",STAFF  18,,STAFF,"Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",2,NO
ARCH3318.1,Environmental and Planning Law (2),2,3,23 / 30,Şile,"D/K-507, D/K-507",NURAN,ZEREN GÜLERSOY,STAFF,,"Faculty of Arts, Design and Architecture",2,NO
ARCH3900.1,Industrial Practice II,0,3,45 / 50,Şile,,GÜLAY,KEPSUTLU,STAFF,,"Faculty of Arts, Design and Architecture",0,NO
ARCH4401.1,Architectural Design Studio V (4),4,8,12 / 20,Şile,"D/K-102, D/K-102, D/K-102, D/K-102, D/K-102, D/K-102, D/K-102, D/K-102",AYŞE,ÖZTÜRK,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20, Pazartesi 11:30 - 12:20, Pazartesi 12:30 - 13:20, Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20, Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ARCH4406.1,Culture and Architecture (3),3,5,15 / 20,Şile,"ONLINE, ONLINE, ONLINE",PINAR,ENGİNCAN,STAFF,"Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",3,YES
ARCH4407.1,Application Project (4),4,7,17 / 20,Şile,"D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106",RÜKSAN TUNA 6,,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ARCH4408.1,Sustainable Architecture (3),3,5,16 / 20,Şile,"D/K-206, D/K-206, D/K-206",RÜKSAN TUNA 7,,STAFF,,"Faculty of Arts, Design and Architecture",3,NO
ARCH4409.1,Disaster Resilient Urban and Architectural Design (3),3,5,9 / 20,Şile,"D/K-203, D/K-203, D/K-203",STAFF  36,,STAFF,"Cuma 13:30 - 14:20, Cuma 14:30 - 15:20, Cuma 15:30 - 16:20","Faculty of Arts, Design and Architecture",3,NO
ARCH4411.1,Steel Structures (3),3,5,10 / 30,Şile,"D/K-113, D/K-113, D/K-113",AYŞE BERNA,BÜYÜKŞİŞLİ,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20","Faculty of Arts, Design and Architecture",3,NO
ARCH4421.1,Open and Green Space Design for Architecture (3),3,5,6 / 25,Şile,"D/K-103, D/K-103, D/K-103",ÖZGE,ÇELİK YILMAZ,STAFF,"Cuma 08:30 - 09:20, Cuma 09:30 - 10:20, Cuma 11:30 - 12:20","Faculty of Arts, Design and Architecture",3,NO
ARCH4424.1,Contemporary Approaches In Architectural Presentation (3),3,5,13 / 20,Şile,"D/K-103, D/K-103, D/K-103",FERHAT,BULDUK,STAFF,,"Faculty of Arts, Design and Architecture",3,NO
ARCH4900.1,Graduation Project (4),4,12,5 / 10,Şile,"D/K-102, D/K-102, D/K-102, D/K-102, D/K-102, D/K-102, D/K-102, D/K-102",NURAN ZEREN GÜLERSOY 2,,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 09:30 - 10:20, Çarşamba 11:30 - 12:20, Çarşamba 12:30 - 13:20, Çarşamba 13:30 - 14:20, Çarşamba 14:30 - 15:20, Çarşamba 15:30 - 16:20, Çarşamba 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ARCH4900.2,Graduation Project (4),4,12,1 / 10,Şile,"D/K-102, D/K-102, D/K-102, D/K-102, D/K-102, D/K-102, D/K-102, D/K-102",ÖZLEM SILA,DURHAN,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 09:30 - 10:20, Çarşamba 11:30 - 12:20, Çarşamba 12:30 - 13:20, Çarşamba 13:30 - 14:20, Çarşamba 14:30 - 15:20, Çarşamba 15:30 - 16:20, Çarşamba 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
BIOL1101.1,Biology (3),3,5,9 / 90,Şile,"DMF-313, DMF-313, DMF-313",SİBEL,YILMAZ,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20, Pazartesi 11:30 - 12:20",Faculty of Engineering and Natural Sciences,3,YES
BİLP1001.1,Bilgisayara Giriş (3),3,3,0 / 65,Online,"-, -, -",GÜLSÜM,KAMER,STAFF,,Vocational School,0,YES
BİLP1122.1,WEB AND INTERNET PROGRAMMING I (3),3,5,0 / 45,Online,"-, -, -",TAHA,AYDOĞMUŞ,STAFF,,Vocational School,3,YES
BİLP1122.2,WEB AND INTERNET PROGRAMMING I (3),3,5,8 / 45,Online,"-, -, -",TAHA,AYDOĞMUŞ,STAFF,,Vocational School,3,YES
BİLP1122.3,WEB AND INTERNET PROGRAMMING I (3),3,5,7 / 60,Online,"-, -, -",TAHA,AYDOĞMUŞ,STAFF,,Vocational School,3,YES
BİLP1122.4,WEB AND INTERNET PROGRAMMING I (3),3,5,0 / 0,Maslak,,STAFF,,STAFF,,Vocational School,3,NO
BİLP1122.5,WEB AND INTERNET PROGRAMMING I (3),3,5,0 / 0,Maslak,,STAFF,,STAFF,,Vocational School,3,NO
BİLP1123.1,VISUAL PROGRAMMING I (3),3,5,0 / 27,Maslak,"A114, A114, A114",ÖNER,AYTAŞ,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20, Pazartesi 11:30 - 12:20",Vocational School,3,NO
BİLP1123.2,VISUAL PROGRAMMING I (3),3,5,0 / 31,Maslak,"A114, A114, A114",ÖNER,AYTAŞ,STAFF,"Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20",Vocational School,3,NO
BİLP1123.3,VISUAL PROGRAMMING I (3),3,5,0 / 28,Maslak,"A114, A114, A114",ÖNER,AYTAŞ,STAFF,"Cuma 12:30 - 13:20, Cuma 13:30 - 14:20, Cuma 14:30 - 15:20",Vocational School,3,NO
BİLP1123.4,VISUAL PROGRAMMING I (3),3,5,2 / 30,Maslak,"A114, A114, A114",ÖNER,AYTAŞ,STAFF,,Vocational School,3,NO
BİLP1123.5,VISUAL PROGRAMMING I (3),3,5,1 / 30,Maslak,"A114, A114, A114",ÖNER,AYTAŞ,STAFF,,Vocational School,3,NO
BİLP1123.6,VISUAL PROGRAMMING I (3),3,5,0 / 27,Maslak,"A114, A114, A114",ÖNER,AYTAŞ,STAFF,,Vocational School,3,NO
BİLP1123.7,VISUAL PROGRAMMING I (3),3,5,5 / 25,Maslak,"A114, A114, A114",ÖNER,AYTAŞ,STAFF,"Cuma 08:30 - 09:20, Cuma 08:30 - 09:20",Vocational School,3,NO
BİLP1124.1,DATABASE II (3),3,5,0 / 30,Maslak,"A114, A114, A114",TUĞÇE,ŞEN,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 09:30 - 10:20, Çarşamba 11:30 - 12:20",Vocational School,3,NO
BİLP1124.2,DATABASE II (3),3,5,0 / 30,Maslak,"A114, A114, A114",TUĞÇE,ŞEN,STAFF,"Çarşamba 12:30 - 13:20, Çarşamba 13:30 - 14:20, Çarşamba 14:30 - 15:20",Vocational School,3,NO
